Reference,Entry in reference,Analysis description ,# of effect sizes,tau,tau^2,Q,I^2,Type of ES,Test for publication bias,Publication bias? ,Publication bias recoded
Hartwig & Bond Jr. 2011,6,speech rate,15,0.24,0.0576,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,7,plausibility,11,0.21,0.0441,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,8,logical structure,7,0.12,0.0144,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,9,ambivalent,7,0.41,0.1681,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,10,involved,5,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,11,verbal and vocal involvement,5,0.14,0.0196,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,12,expressive face,6,0.17,0.0289,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,13,illustrators,9,0.36,0.1296,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,14,verbal immediacy,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,15,self references,11,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,16,mutual references,2,0.2,0.04,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,17,other references,3,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,18,vocal immediacy,13,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,19,eye contact,19,0.05,0.0025,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,20,gaze aversion,5,0.06,0.0036,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,21,vocal uncertainty,10,0.25,0.0625,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,22,shrugging,6,0.07,0.0049,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,23,non-ah disturbances,8,0.11,0.0121,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,24,unfilled pauses,13,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,25,ah disturbances,14,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,26,total disturbances,11,0.02,0.0004,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,27,non fluent,9,0.19,0.0361,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,28,active body,3,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,29,postura shifts,12,0.04,0.0016,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,30,head movements,9,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,31,hand gestures,10,0.07,0.0049,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,32,arm movements,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,33,foot/leg movements,5,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,34,friendly,13,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,35,cooperative,14,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,36,attractive,20,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,37,negative statements,9,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,38,pleasant voice,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,39,pleasant face,6,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,40,head nodding,5,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,41,smiling,21,0.26,0.0676,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,42,nervous,15,0.24,0.0576,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,43,pitch,5,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,44,relaxed posture,2,0.43,0.1849,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,45,blinking,8,0.01,0.0001,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,46,object fidgeting,2,0.52,0.2704,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,47,self-fidgeting,11,0.15,0.0225,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,48,facial fidgeting,3,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,49,fidgeting,9,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,50,self-deprecating,4,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,51,embedding,2,0.47,0.2209,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,52,behavior segments,3,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,53,realistic,2,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,54,indifferent,3,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,55,not spontaneous,2,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,56,thinking hard,4,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,57,serious,4,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,58,competent,6,0.32,0.1024,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,59,ingratiating,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,60,admit responsibility,2,0.15,0.0225,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,61,nonverbal deception pose,12,0.04,0.0016,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,62,verbal deception pose,10,0.21,0.0441,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,63,messy clothes,2,0.32,0.1024,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,64,weird behaviors,7,0.25,0.0625,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,65,foreign language,5,0.45,0.2025,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,66,baby face,14,0.23,0.0529,,,Pearson's r,NA,NA,NA
Szalma & Hancock 2011,1,performance,797,0.905538514,0.82,,,Hedges' g,NA,NA,NA
"Balliet, Li et al. 2011",1,sex and cooperation,176,0.29,0.0841,637.21,72.53652642,Cohen's d,trim-and-fill/egger test,no,0
Petersen & Hyde 2010,1,petting (I),38,0.223606798,0.05,1241.47,97.01966217,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,2,intercourse (F),49,0.316227766,0.1,966.19,95.03203304,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,3,intercourse (I),394,0.264575131,0.07,12513.17,96.85930903,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,4,age at first sex,127,0.608276253,0.37,15717.98,99.19837027,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,5,number of partners,256,0.282842712,0.08,8672.43,97.05964764,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,6,oral sex (I/F),81,0.1,0.01,693.05,88.4568213,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,7,anal sex (I/F),72,0.141421356,0.02,1083.23,93.44552865,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,8,casual sex (I/F),69,0.331662479,0.11,3199.99,97.87499336,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,9,same-gender sex (I/F),76,0.141421356,0.02,1413.68,94.69469753,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,10,extramarital sex (I/F),30,0.3,0.09,715.46,95.94666368,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,11,condom use (I/F),278,0.223606798,0.05,6405.56,95.67563179,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,12,masturbation (I/F),66,0.509901951,0.26,2518.13,97.41871945,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,13,pornography (I/F),25,0.565685425,0.32,1756.69,98.63379424,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,14,cybersex (I/F),3,0,0,0.88,0,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,15,general permissiveness,29,0.223606798,0.05,147.68,81.04008667,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,16,premarital sex,41,0.331662479,0.11,1597.64,97.49630705,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,17,casual sex,10,0.173205081,0.03,36.85,75.57666214,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,18,extramarital sex,10,0.173205081,0.03,71.45,87.40377887,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,19,sex when engaged,6,0.282842712,0.08,85.74,94.16841614,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,20,sex with commitment,10,0.458257569,0.21,287.92,96.8741317,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,21,masturbation,10,0.264575131,0.07,80.91,88.87652948,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,22,condom use,17,0.469041576,0.22,1094.21,98.53775783,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,23,double standard,7,0.141421356,0.02,17.49,65.69468268,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,24,fear/anxiety/guilt,5,0.316227766,0.1,55.55,92.79927993,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,25,sexual satisfaction,29,0.173205081,0.03,443.26,93.68316564,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,26,homosexuality,58,0.282842712,0.08,497.57,88.54432542,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,27,gay men,40,0.173205081,0.03,388.31,89.95647807,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,28,lesbians,28,0.1,0.01,92.39,70.77605801,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,29,gay rights,3,0.173205081,0.03,9.07,77.94928335,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,30,gay marriage,3,0.141421356,0.02,8.33,75.99039616,Cohen's d,Egger test,no,0
Lim & Dinges 2010,1,simple attention: lapses,17,0.09486833,0.009,112.18,85.73720806,Cohen's d,NA,NA,NA
Lim & Dinges 2010,2,simple attention: reaction time,26,0.070710678,0.005,97.04,74.23742786,Cohen's d,NA,NA,NA
Lim & Dinges 2010,3,complex attention: accuracy,25,0.083666003,0.007,56.79,57.73903856,Cohen's d,NA,NA,NA
Lim & Dinges 2010,4,complex attention: reaction time,37,0.054772256,0.003,192.57,81.3054993,Cohen's d,NA,NA,NA
Lim & Dinges 2010,5,processing speed: accuracy,12,0.130384048,0.017,72.99,84.92944239,Cohen's d,NA,NA,NA
Lim & Dinges 2010,6,processing speed: reaction time,20,0.083666003,0.007,194.77,90.24490425,Cohen's d,NA,NA,NA
Lim & Dinges 2010,7,working memory: accuracy,26,0.09486833,0.009,113.79,78.02970384,Cohen's d,NA,NA,NA
Lim & Dinges 2010,8,working memory: reaction time,17,0.09486833,0.009,92.95,82.78644432,Cohen's d,NA,NA,NA
Lim & Dinges 2010,9,short-term memory: recall,12,0.134164079,0.018,37.85,70.93791281,Cohen's d,NA,NA,NA
Lim & Dinges 2010,10,short-term memory: recognition,5,0.126491106,0.016,13.91,71.24370956,Cohen's d,NA,NA,NA
Lim & Dinges 2010,11,reasoning: accuracy,12,0.070710678,0.005,14.59,24.60589445,Cohen's d,NA,NA,NA
Hofmann et al. 2010,1,evaluative conditioning,652,0.346410162,0.12,706.97,7.916884733,Cohen's d,Egger test,no,0
Hulleman et al. 2010,1,performance outcomes and PAp,98,0.1,0.01,374.77,74.11745871,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,2,performance outcomes and PAv,63,0.1,0.01,238.16,73.96708095,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,3,performance outcomes and MAp,95,0.1,0.01,416.82,77.44829903,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,4,performance outcomes and MAv,12,0.1,0.01,23.26,52.70851247,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,5,interest and PAp,52,0.1,0.01,203.52,74.94103774,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,6,interest and PAv,34,0.141421356,0.02,169.92,80.57909605,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,7,interest and MAp,52,0.2,0.04,633.3,91.94694458,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,8,interest and MAv,9,0.1,0.01,18.05,55.67867036,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,9,goal-goal correlations PAp-Map,193,0.223606798,0.05,2574.89,92.54337078,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,10,goal-goal correlations PAp-Pav,147,0.244948974,0.06,2943.55,95.04000272,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,11,goal-goal correlations PAp-Mav,37,0.141421356,0.02,219.01,83.56239441,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,12,goal-goal correlations MAp-Pav,141,0.173205081,0.03,1329.12,89.46671482,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,13,goal-goal correlations MAp-Mav,37,0.141421356,0.02,285.99,87.41214728,Pearson's r,publication status as moderator,NA,NA
