Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Alloway, et al.  2013 comp1",com 1 active controls,verbal reasoning,follow up,0.6500,11,19,1,0.6324,0.3776,treat,children,large,r,l,WASI,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,verbal reasoning,posttest,0.7700,23,32,1,0.7591,0.2790,treat,children,large,r,l,WASI,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,verbal working memory,follow up,1.4400,11,19,1,1.4011,0.4106,treat,children,large,r,l,Automated working memory asessment,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,verbal working memory,posttest,0.8400,23,32,1,0.8281,0.2808,treat,children,large,r,l,Automated working memory asessment,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,visual working memory,follow up,1.4800,11,19,1,1.4400,0.4129,treat,children,large,r,l,shape recall test,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Alloway, et al.  2013 comp1",com 1 active controls,visual working memory,posttest,0.6700,23,32,1,0.6605,0.2767,treat,children,large,r,l,shape recall test,Blank,other,10.6,11.2,Students with learning difficulties. All receiving special education support. All attended mainstream schools. ,Active Control: 1 session a week for 8 weeks. Experimental Group: 4x a week for 8wks. Posttest- taken within 2 wks of completing ttraining All- followup 8 mo. Later,Jungle Memory (2008),published,8m,Prettest-Intervention-Posttest. Followup 8 mo later. Assessments scored by researchers who were blind to condition. 
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic1,followup,0.1092,25,28,1,0.1075,0.2713,treat,children,large,n,l,Numer Operat,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic1,posttest,-0.2926,25,28,1,-0.2882,0.2725,treat,children,large,n,l,Numer Operat,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic1,followup,0.4328,32,28,1,0.4272,0.2584,treat,children,large,n,l,Numer Operat,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic1,posttest,0.0553,32,28,1,0.0545,0.2555,treat,children,large,n,l,Numer Operat,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic2,followup,-0.0757,25,28,1,-0.0746,0.2712,treat,children,large,n,l,Addition Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic2,posttest,0.0000,25,28,1,0.0000,0.2711,treat,children,large,n,l,Addition Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic2,followup,0.5644,32,28,1,0.5571,0.2604,treat,children,large,n,l,Addition Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic2,posttest,0.2531,32,28,1,0.2498,0.2564,treat,children,large,n,l,Addition Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic3,followup,0.1033,25,28,1,0.1018,0.2713,treat,children,large,n,l,Subtract Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,arithmetic3,posttest,-0.1506,25,28,1,-0.1483,0.2715,treat,children,large,n,l,Subtract Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic3,followup,0.4846,32,28,1,0.4783,0.2591,treat,children,large,n,l,Subtract Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,arithmetic3,posttest,0.4956,32,28,1,0.4892,0.2593,treat,children,large,n,l,Subtract Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,nonverbal working memory1,followup,-0.2966,25,28,1,-0.2923,0.2726,treat,children,large,n,l,Letter Rotation,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,nonverbal working memory1,posttest,-0.0952,25,28,1,-0.0938,0.2712,treat,children,large,n,l,Letter Rotation,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,nonverbal working memory1,followup,0.3410,32,28,1,0.3366,0.2573,treat,children,large,n,l,Letter Rotation,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,nonverbal working memory1,posttest,0.4485,32,28,1,0.4427,0.2586,treat,children,large,n,l,Letter Rotation,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,verbal working memory,followup,0.7183,25,28,1,0.7076,0.2797,treat,children,large,n,l,Back Letter Recall,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,verbal working memory,posttest,0.6765,25,28,1,0.6665,0.2787,treat,children,large,n,l,Back Letter Recall,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,verbal working memory,followup,0.1361,32,28,1,0.1343,0.2557,treat,children,large,n,l,Back Letter Recall,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,verbal working memory,posttest,0.4277,32,28,1,0.4221,0.2583,treat,children,large,n,l,Back Letter Recall,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,verbal working memory1,followup,0.3716,25,28,1,0.3661,0.2734,treat,children,large,n,l,Animal Updating,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 3",Cogmed v active,verbal working memory1,posttest,0.1889,25,28,1,0.1862,0.2717,treat,children,large,n,l,Animal Updating,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,verbal working memory1,posttest,0.1996,32,28,1,0.1970,0.2560,treat,children,large,n,l,Animal Updating,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 1",updating v active,verbal working memory2,followup,0.4360,32,28,1,0.4304,0.2584,treat,children,large,n,l,Animal Updating,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic1,followup,-0.0773,32,26,1,-0.0763,0.2606,untreated,children,large,n,l,Numer Operat,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic1,posttest,0.1594,32,26,1,0.1573,0.2609,untreated,children,large,n,l,Numer Operat,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic2,followup,0.5386,32,26,1,0.5313,0.2651,untreated,children,large,n,l,Addition Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic2,posttest,0.2452,32,26,1,0.2419,0.2614,untreated,children,large,n,l,Addition Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic3,followup,0.5727,32,26,1,0.5650,0.2657,untreated,children,large,n,l,Subtract Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,arithmetic3,posttest,0.0765,32,26,1,0.0755,0.2606,untreated,children,large,n,l,Subtract Fluency,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,nonverbal working memory1,followup,0.2358,32,26,1,0.2326,0.2614,untreated,children,large,n,l,Letter Rotation,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,nonverbal working memory1,posttest,0.5349,32,26,1,0.5277,0.2650,untreated,children,large,n,l,Letter Rotation,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,verbal working memory,followup,0.1435,32,26,1,0.1416,0.2608,untreated,children,large,n,l,Back Letter Recall,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,verbal working memory,posttest,0.4465,32,26,1,0.4405,0.2637,untreated,children,large,n,l,Back Letter Recall,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,verbal working memory1,followup,-0.0813,32,26,1,-0.0802,0.2606,untreated,children,large,n,l,Animal Updating,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 2",updating v passive,verbal working memory1,posttest,0.0468,32,26,1,0.0462,0.2605,untreated,children,large,n,l,Animal Updating,Blank,other,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,updating,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic1,followup,-0.3874,25,26,1,-0.3815,0.2784,untreated,children,large,n,l,Numer Operat,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic1,posttest,-0.2097,25,26,1,-0.2065,0.2766,untreated,children,large,n,l,Numer Operat,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic2,followup,-0.1948,25,26,1,-0.1918,0.2765,untreated,children,large,n,l,Addition Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic2,posttest,-0.0446,25,26,1,-0.0439,0.2758,untreated,children,large,n,l,Addition Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic3,followup,0.0336,25,26,1,0.0331,0.2758,untreated,children,large,n,l,Subtract Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,arithmetic3,posttest,-0.6230,25,26,1,-0.6134,0.2824,untreated,children,large,n,l,Subtract Fluency,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,nonverbal working memory1,followup,-0.4235,25,26,1,-0.4170,0.2789,untreated,children,large,n,l,Letter Rotation,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,nonverbal working memory1,posttest,-0.0549,25,26,1,-0.0541,0.2759,untreated,children,large,n,l,Letter Rotation,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,verbal working memory,followup,0.7617,25,26,1,0.7500,0.2856,untreated,children,large,n,l,Back Letter Recall,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,verbal working memory,posttest,0.7038,25,26,1,0.6930,0.2842,untreated,children,large,n,l,Back Letter Recall,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,verbal working memory2,followup,-0.1659,25,26,1,-0.1633,0.2763,untreated,children,large,n,l,Animal Updating,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
"Ang, et al 2015 comp 4",Cogmed v passive,verbal working memory2,posttest,0.0394,25,26,1,0.0388,0.2758,untreated,children,large,n,l,Animal Updating,Blank,cogmed,"81,73 months","81,73 months",children with math difficulties,25 30-45 min sessions over 5 weeks,cogmed,published,Blank,Blank
Anguera et al 2012,active,nonverbal reasoning,posttest,0.2396,22,22,1,0.2353,0.2972,treat,adults,small,r,u,card rotation,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,nonverbal reasoning1,posttest,-0.0107,29,27,1,-0.0105,0.2637,treat,adults,small,r,u,Raven APM,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,nonverbal reasoning2,posttest,0.1139,29,27,1,0.1123,0.2639,treat,adults,small,r,u,BOMAT,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,verbal reasoning1,posttest,0.0000,29,27,1,0.0000,0.2637,treat,adults,small,r,u,Analogies ,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,verbal reasoning2,posttest,-0.1437,29,27,1,-0.1417,0.2640,treat,adults,small,r,u,Letter Sets,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,verbal working memory,posttest,0.5545,22,22,1,0.5445,0.3017,treat,adults,small,r,u,operation span,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,visual working memory 1,posttest,0.8570,22,22,1,0.8416,0.3094,treat,adults,small,r,u,4-back objects,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Anguera et al 2012,active,visual working memory 2,posttest,0.6519,22,22,1,0.6402,0.3039,treat,adults,small,r,u,3-back objects,Blank,n back,19,19,univeristy students,4-5 days per week for 25 minutes,n-back,published,Blank,randomized ct trial
Ashman-East 2015,Cogmed v nonadaptive,arithmetic1,posttest,0.5558,15,13,1,0.5396,0.3749,treat,children,large,r,l,Jamaica Grade 4 Literacy Test,Blank,cogmed,5th grade,5th grade,low achievement students,one hour per day for 5 weeks,cog med,grey,Blank,Blank
Ashman-East 2015,Cogmed v nonadaptive,arithmetic2,followup,0.5308,15,13,1,0.5153,0.3743,treat,children,large,r,l,Jamaica Grade 4 Literacy Test,Blank,cogmed,5th grade,5th grade,low achievement students,one hour per day for 5 weeks,cog med,grey,Blank,Blank
Ashman-East 2015,Cogmed v nonadaptive,nonverbal working memory2,posttest,0.3846,15,13,1,0.3734,0.3713,treat,children,large,r,l,AWMA Spatial Recall,Blank,cogmed,5th grade,5th grade,low achievement students,one hour per day for 5 weeks,cog med,grey,Blank,Blank
Ashman-East 2015,Cogmed v nonadaptive,verbal working memory2,posttest,1.1941,15,13,1,1.1593,0.3992,treat,children,large,r,l,AWMA Listening Recall,Blank,cogmed,5th grade,5th grade,low achievement students,one hour per day for 5 weeks,cog med,grey,Blank,Blank
"Bergman-Nutley & Klingberg, 2014",passive,arithmetic,posttest,0.1947,155,275,1,0.1943,0.1005,untreated,children,large,n,l,addition and subtraction tasks. ,Blank,cogmed,11.01,11.1,"Problems with innattention, diagnosis not verified",mean days trained 24.89,cogmed,published,-,nonrandom
"Bergman-Nutley & Klingberg, 2014",passive ,nonverbal working memory1,posttest,0.7402,155,275,1,0.7389,0.1034,untreated,children,large,n,l,odd one out,Blank,cogmed,11.01,11.1,"Problems with innattention, diagnosis not verified",mean days trained 24.89,cogmed,published,-,nonrandom
"Borella,  et al. 2014 comp 1",comp 1 young,crit,follow up,1.4400,20,20,1,1.4114,0.3478,untreated,older adults,small,r,u,dot matrix,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
